video_id,fps,scene_type,dataset
50_people_brooklyn_1280x720,30,Social,diem
advert_bbc4_bees_1024x576,30,Nature,diem
advert_bravia_paint_1280x720,30,Other,diem
Antarctica_landscape_1246x720,30,Nature,diem
basketball_of_sorts_960x720,30,Social,diem
BBC_wildlife_eagle_930x720,30,Nature,diem
BBC_wildlife_special_tiger_1276x720,30,Nature,diem
clip_10,25,Other,coutrot1
clip_11,25,Other,coutrot1
clip_1,25,Other,coutrot1
clip_13,25,Other,coutrot1
clip_14,25,Other,coutrot1
clip_15,25,Other,coutrot1
clip_16,25,Other,coutrot1
clip_17,25,Other,coutrot1
clip_19,25,Other,coutrot1
clip_20,25,Other,coutrot1
clip_21,25,Other,coutrot1
clip_22,25,Other,coutrot1
clip_24,25,Other,coutrot1
clip_25,25,Other,coutrot1
clip_27,25,Other,coutrot1
clip_28,25,Other,coutrot1
clip_29,25,Nature,coutrot1
clip_31,25,Nature,coutrot1
clip_32,25,Nature,coutrot1
clip_3,25,Other,coutrot1
clip_34,25,Nature,coutrot1
clip_36,25,Nature,coutrot1
clip_37,25,Nature,coutrot1
clip_38,25,Nature,coutrot1
clip_39,25,Nature,coutrot1
clip_41,25,Nature,coutrot1
clip_4,25,Other,coutrot1
clip_42,25,Nature,coutrot1
clip_43,25,Nature,coutrot1
clip_44,25,Nature,coutrot1
clip_46,25,Social,coutrot1
clip_47,25,Social,coutrot1
clip_49,25,Social,coutrot1
clip_50,25,Social,coutrot1
clip_51,25,Social,coutrot1
clip_5,25,Other,coutrot1
clip_53,25,Social,coutrot1
clip_54,25,Social,coutrot1
clip_55,25,Social,coutrot1
clip_56,25,Social,coutrot1
clip_57,25,Social,coutrot1
clip_59,25,Social,coutrot1
clip_6,25,Other,coutrot1
clip_10,25,Social,coutrot2
clip_11,25,Social,coutrot2
clip_12,25,Social,coutrot2
clip_1,25,Social,coutrot2
clip_13,25,Social,coutrot2
clip_14,25,Social,coutrot2
clip_15,25,Social,coutrot2
clip_3,25,Social,coutrot2
clip_5,25,Social,coutrot2
clip_7,25,Social,coutrot2
clip_8,25,Social,coutrot2
clip_9,25,Social,coutrot2
DIY_SOS_1280x712,30,Other,diem
documentary_adrenaline_rush_1280x720,30,Other,diem
documentary_discoverers_1280x720,30,Other,diem
documentary_mystery_nile_1280x720,30,Nature,diem
game_trailer_bullet_witch_1280x720,30,Other,diem
game_trailer_lego_indiana_jones_1280x720,30,Other,diem
growing_sweetcorn_1280x712,30,Social,diem
harry_potter_6_trailer_1280x544,30,Social,diem
hummingbirds_closeups_960x720,30,Nature,diem
hydraulics_1280x712,30,Other,diem
movie_trailer_ice_age_3_1280x690,30,Other,diem
music_gummybear_880x720,30,Other,diem
music_trailer_nine_inch_nails_1280x720,30,Social,diem
news_video_republic_960x720,30,Other,diem
nigella_chocolate_pears_1280x712,30,Social,diem
one_show_1280x712,30,Social,diem
pingpong_closeup_rallys_960x720,30,Social,diem
pingpong_miscues_1080x720,30,Social,diem
planet_earth_jungles_frogs_1280x704,30,Nature,diem
scottish_parliament_1152x864,30,Social,diem
sport_barcelona_extreme_1280x720,30,Other,diem
sport_F1_slick_tyres_1280x720,30,Other,diem
sport_golf_fade_a_driver_1280x720,30,Other,diem
sport_scramblers_1280x720,30,Other,diem
sport_slam_dunk_1280x704,30,Social,diem
sport_wimbledon_baltacha_1280x704,30,Social,diem
sport_wimbledon_magic_wand_1280x704,30,Social,diem
spotty_trifle_1280x712,30,Other,diem
tv_graduates_1280x720,30,Social,diem
tv_the_simpsons_860x528,30,Other,diem
university_forum_construction_ionic_1280x720,30,Other,diem
