video_id,fps,scene_type,dataset
000001,60,Social,fairplay
000002,60,Social,fairplay
000003,60,Social,fairplay
000004,60,Social,fairplay
000005,60,Social,fairplay
000006,60,Social,fairplay
000007,60,Social,fairplay
000008,60,Social,fairplay
000009,60,Social,fairplay
000010,60,Social,fairplay
000011,60,Social,fairplay
000012,60,Social,fairplay
000013,60,Social,fairplay
000014,60,Social,fairplay
000015,60,Social,fairplay
000016,60,Social,fairplay
000017,60,Social,fairplay
000018,60,Social,fairplay
000019,60,Social,fairplay
000020,60,Social,fairplay
000021,60,Social,fairplay
000022,60,Social,fairplay
000023,60,Social,fairplay
000024,60,Social,fairplay
000025,60,Social,fairplay
000026,60,Social,fairplay
000027,60,Social,fairplay
000028,60,Social,fairplay
000029,60,Social,fairplay
000030,60,Social,fairplay
000031,60,Social,fairplay
000032,60,Social,fairplay
000034,60,Social,fairplay
000035,60,Social,fairplay
000036,60,Social,fairplay
000037,60,Social,fairplay
000038,60,Social,fairplay
000039,60,Social,fairplay
000040,60,Social,fairplay
000041,60,Social,fairplay
000042,60,Social,fairplay
000043,60,Social,fairplay
000044,60,Social,fairplay
000045,60,Social,fairplay
000046,60,Social,fairplay
000047,60,Social,fairplay
000048,60,Social,fairplay
000049,60,Social,fairplay
000050,60,Social,fairplay
000051,60,Social,fairplay
000052,60,Social,fairplay
000053,60,Social,fairplay
000054,60,Social,fairplay
000055,60,Social,fairplay
000056,60,Social,fairplay
000057,60,Social,fairplay
000058,60,Social,fairplay
000059,60,Social,fairplay
000060,60,Social,fairplay
000061,60,Social,fairplay
000062,60,Social,fairplay
000063,60,Social,fairplay
000064,60,Social,fairplay
000065,60,Social,fairplay
000066,60,Social,fairplay
000067,60,Social,fairplay
000068,60,Social,fairplay
000069,60,Social,fairplay
000070,60,Social,fairplay
000071,60,Social,fairplay
000072,60,Social,fairplay
000073,60,Social,fairplay
000074,60,Social,fairplay
000075,60,Social,fairplay
000076,60,Social,fairplay
000077,60,Social,fairplay
000078,60,Social,fairplay
000079,60,Social,fairplay
000080,60,Social,fairplay
000081,60,Social,fairplay
000082,60,Social,fairplay
000083,60,Social,fairplay
000084,60,Social,fairplay
000085,60,Social,fairplay
000086,60,Social,fairplay
000087,60,Social,fairplay
000088,60,Social,fairplay
000089,60,Social,fairplay
000090,60,Social,fairplay
000091,60,Social,fairplay
000092,60,Social,fairplay
000093,60,Social,fairplay
000094,60,Social,fairplay
000095,60,Social,fairplay
000096,60,Social,fairplay
000097,60,Social,fairplay
000098,60,Social,fairplay
000099,60,Social,fairplay
000100,60,Social,fairplay
000101,60,Social,fairplay
000102,60,Social,fairplay
000103,60,Social,fairplay
000104,60,Social,fairplay
000105,60,Social,fairplay
000106,60,Social,fairplay
000107,60,Social,fairplay
000108,60,Social,fairplay
000109,60,Social,fairplay
000110,60,Social,fairplay
000111,60,Social,fairplay
000112,60,Social,fairplay
