video_id,fps,scene_type,dataset
001,30,Social,findwho
002,30,Social,findwho
003,30,Social,findwho
004,30,Social,findwho
005,30,Social,findwho
006,30,Social,findwho
007,30,Social,findwho
008,30,Social,findwho
009,30,Social,findwho
010,30,Social,findwho
011,30,Social,findwho
012,30,Social,findwho
013,30,Social,findwho
014,30,Social,findwho
015,30,Social,findwho
016,30,Social,findwho
018,30,Social,findwho
019,30,Social,findwho
020,30,Social,findwho
021,30,Social,findwho
022,30,Social,findwho
023,30,Social,findwho
024,30,Social,findwho
025,30,Social,findwho
026,30,Social,findwho
027,30,Social,findwho
028,30,Social,findwho
030,30,Social,findwho
031,30,Social,findwho
033,30,Social,findwho
034,30,Social,findwho
035,30,Social,findwho
036,30,Social,findwho
037,30,Social,findwho
038,30,Social,findwho
