video_id,fps,scene_type,dataset
001,30,Social,mvva
002,30,Social,mvva
004,30,Social,mvva
005,30,Social,mvva
006,30,Social,mvva
007,30,Social,mvva
008,30,Social,mvva
009,30,Social,mvva
010,30,Social,mvva
012,30,Social,mvva
013,30,Social,mvva
014,30,Social,mvva
016,30,Social,mvva
018,30,Social,mvva
019,30,Social,mvva
020,30,Social,mvva
021,30,Social,mvva
022,30,Social,mvva
023,30,Social,mvva
024,30,Social,mvva
025,30,Social,mvva
026,30,Social,mvva
027,30,Social,mvva
028,30,Social,mvva
030,30,Social,mvva
031,30,Social,mvva
032,30,Social,mvva
034,30,Social,mvva
035,30,Social,mvva
036,30,Social,mvva
037,30,Social,mvva
038,30,Social,mvva
039,30,Social,mvva
040,30,Social,mvva
041,30,Social,mvva
042,30,Social,mvva
043,30,Social,mvva
044,30,Social,mvva
045,30,Social,mvva
046,30,Social,mvva
047,30,Social,mvva
048,30,Social,mvva
049,30,Social,mvva
050,30,Social,mvva
051,30,Social,mvva
053,30,Social,mvva
056,30,Social,mvva
057,30,Social,mvva
058,30,Social,mvva
059,30,Social,mvva
060,30,Social,mvva
061,30,Social,mvva
062,30,Social,mvva
063,30,Social,mvva
065,30,Social,mvva
066,30,Social,mvva
067,30,Social,mvva
068,30,Social,mvva
070,30,Social,mvva
072,30,Social,mvva
073,30,Social,mvva
075,30,Social,mvva
77,30,Social,mvva
78,30,Social,mvva
79,30,Social,mvva
80,30,Social,mvva
81,30,Social,mvva
82,30,Social,mvva
83,30,Social,mvva
84,30,Social,mvva
85,30,Social,mvva
86,30,Social,mvva
88,30,Social,mvva
90,30,Social,mvva
91,30,Social,mvva
92,30,Social,mvva
93,30,Social,mvva
94,30,Social,mvva
95,30,Social,mvva
96,30,Social,mvva
97,30,Social,mvva
98,30,Social,mvva
99,30,Social,mvva
100,30,Social,mvva
101,30,Social,mvva
102,30,Social,mvva
103,30,Social,mvva
104,30,Social,mvva
105,30,Social,mvva
107,30,Social,mvva
108,30,Social,mvva
109,30,Social,mvva
110,30,Social,mvva
111,30,Social,mvva
112,30,Social,mvva
113,30,Social,mvva
115,30,Social,mvva
116,30,Social,mvva
117,30,Social,mvva
118,30,Social,mvva
119,30,Social,mvva
120,30,Social,mvva
121,30,Social,mvva
122,30,Social,mvva
123,30,Social,mvva
124,30,Social,mvva
125,30,Social,mvva
127,30,Social,mvva
128,30,Social,mvva
130,30,Social,mvva
131,30,Social,mvva
132,30,Social,mvva
133,30,Social,mvva
135,30,Social,mvva
136,30,Social,mvva
137,30,Social,mvva
138,30,Social,mvva
139,30,Social,mvva
140,30,Social,mvva
141,30,Social,mvva
142,30,Social,mvva
143,30,Social,mvva
144,30,Social,mvva
145,30,Social,mvva
146,30,Social,mvva
147,30,Social,mvva
148,30,Social,mvva
149,30,Social,mvva
150,30,Social,mvva
151,30,Social,mvva
152,30,Social,mvva
153,30,Social,mvva
154,30,Social,mvva
155,30,Social,mvva
156,30,Social,mvva
157,30,Social,mvva
158,30,Social,mvva
160,30,Social,mvva
162,30,Social,mvva
163,30,Social,mvva
165,30,Social,mvva
167,30,Social,mvva
168,30,Social,mvva
169,30,Social,mvva
170,30,Social,mvva
172,30,Social,mvva
173,30,Social,mvva
174,30,Social,mvva
175,30,Social,mvva
176,30,Social,mvva
177,30,Social,mvva
178,30,Social,mvva
179,30,Social,mvva
180,30,Social,mvva
181,30,Social,mvva
186,30,Social,mvva
188,30,Social,mvva
189,30,Social,mvva
195,30,Social,mvva
198,30,Social,mvva
200,30,Social,mvva
201,30,Social,mvva
202,30,Social,mvva
203,30,Social,mvva
204,30,Social,mvva
205,30,Social,mvva
206,30,Social,mvva
207,30,Social,mvva
208,30,Social,mvva
209,30,Social,mvva
210,30,Social,mvva
211,30,Social,mvva
212,30,Social,mvva
213,30,Social,mvva
214,30,Social,mvva
215,30,Social,mvva
216,30,Social,mvva
217,30,Social,mvva
218,30,Social,mvva
