participant_idx,auditory_localization,visualcue_localization
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
0,test,test
1,right,left
1,right,right
1,right,right
1,right,right
1,right,left
1,right,normal
1,right,normal
1,right,left
1,left,right
1,right,right
1,right,left
1,left,left
1,right,left
1,left,left
1,right,right
1,right,normal
1,left,left
1,right,normal
1,left,right
1,left,left
1,left,left
1,left,normal
1,left,right
1,left,left
1,right,left
1,left,right
1,left,right
1,left,normal
1,left,normal
1,right,right
1,right,right
1,left,normal
1,left,right
1,left,right
1,left,normal
1,right,left
1,left,left
1,left,right
1,left,normal
1,right,normal
1,left,right
1,right,right
1,right,left
1,left,normal
1,right,right
1,right,left
1,left,left
1,left,normal
1,left,right
1,left,normal
1,left,right
1,left,right
1,right,normal
1,right,right
1,right,normal
1,right,normal
1,right,left
1,left,normal
1,right,right
1,left,left
1,right,right
1,right,right
1,left,normal
1,right,normal
1,left,left
1,right,right
1,right,left
1,left,right
1,left,normal
1,left,right
1,right,left
1,right,left
1,right,right
1,right,left
1,left,normal
1,right,right
1,left,right
1,right,left
1,right,right
1,left,right
1,left,left
1,right,left
1,right,left
1,left,right
1,right,left
1,right,right
1,right,right
1,left,left
1,right,normal
1,right,normal
1,right,left
1,left,left
1,right,right
1,left,left
1,left,normal
1,left,normal
1,right,right
1,left,left
1,left,left
1,left,right
1,left,left
1,right,right
1,left,left
1,left,right
1,right,right
1,right,right
1,right,normal
1,left,normal
1,left,left
1,left,left
1,left,right
1,right,left
1,right,right
1,left,normal
1,right,left
1,left,normal
1,left,normal
1,right,left
1,right,right
1,right,right
1,right,normal
1,right,normal
1,left,right
1,left,right
1,right,right
1,left,right
1,left,left
1,left,left
1,left,right
1,left,right
1,right,normal
1,right,left
1,right,normal
1,left,right
1,left,left
1,right,left
1,right,normal
1,left,right
1,right,normal
1,right,normal
1,left,normal
1,right,normal
1,right,right
1,right,right
1,right,left
1,left,normal
1,right,left
1,left,normal
1,left,normal
1,right,left
1,right,left
1,left,normal
1,left,normal
1,left,left
1,left,left
1,left,normal
1,left,left
1,right,normal
1,left,normal
1,left,right
1,right,normal
1,left,left
1,right,right
1,left,left
1,right,right
1,right,left
1,left,normal
1,right,right
1,right,left
1,left,right
1,right,normal
1,right,normal
1,left,left
1,left,right
1,right,normal
1,left,right
1,left,right
1,left,normal
1,left,right
1,right,left
1,left,left
1,right,normal
1,right,right
1,right,right
1,right,left
1,right,left
1,right,normal
1,right,normal
1,left,left
1,right,left
1,left,right
1,left,right
1,right,left
1,right,left
1,left,normal
1,left,left
1,right,right
1,right,left
1,right,normal
1,right,normal
1,right,right
1,right,normal
1,left,left
1,right,right
1,left,left
1,left,left
1,right,normal
1,right,normal
1,right,left
1,right,right
1,right,normal
1,left,normal
1,left,left
1,right,right
1,left,right
1,left,normal
1,right,left
1,right,normal
1,left,normal
1,left,normal
1,right,left
1,left,normal
1,right,normal
1,right,normal
1,left,right
1,right,normal
1,left,left
1,right,normal
1,left,right
1,right,normal
1,left,normal
1,left,left
1,left,normal
1,left,left
1,left,normal
1,left,normal
1,left,left
1,left,right
1,right,left
1,left,normal
1,left,normal
1,left,left
1,left,right
1,right,right
1,right,left
1,left,left
1,left,left
1,left,normal
1,right,normal
1,left,right
1,right,left
1,left,right
1,left,left
1,left,left
1,left,normal
1,left,right
1,left,right
1,left,left
1,right,left
1,left,normal
1,right,left
1,left,right
1,left,normal
1,right,normal
1,right,right
1,left,normal
1,right,normal
1,right,normal
1,right,normal
1,right,normal
1,left,right
1,right,right
1,right,right
1,right,normal
1,right,right
1,right,right
1,left,right
1,right,normal
1,right,right
1,right,left
1,left,normal
1,left,left
1,left,normal
1,right,left
1,right,left
1,left,right
1,left,left
1,right,right
2,right,right
2,right,right
2,left,left
2,left,right
2,right,left
2,right,normal
2,right,left
2,right,right
2,right,normal
2,left,left
2,left,normal
2,left,right
2,left,right
2,right,left
2,right,right
2,right,right
2,left,left
2,right,left
2,left,normal
2,left,left
2,right,left
2,left,right
2,left,normal
2,left,normal
2,left,left
2,left,left
2,left,normal
2,right,right
2,left,right
2,left,normal
2,left,right
2,left,left
2,right,left
2,left,right
2,left,left
2,right,right
2,left,left
2,right,right
2,right,normal
2,left,normal
2,right,normal
2,right,normal
2,left,normal
2,left,right
2,right,left
2,right,right
2,left,left
2,left,right
2,right,right
2,left,left
2,right,normal
2,left,left
2,right,right
2,right,left
2,left,normal
2,left,right
2,right,right
2,right,right
2,right,right
2,right,left
2,left,left
2,left,normal
2,left,normal
2,right,normal
2,right,right
2,right,normal
2,right,right
2,left,left
2,left,right
2,right,right
2,left,right
2,right,right
2,right,left
2,right,left
2,right,left
2,left,normal
2,right,normal
2,left,left
2,left,left
2,left,normal
2,right,normal
2,right,left
2,left,left
2,right,normal
2,left,normal
2,left,normal
2,right,left
2,left,right
2,right,normal
2,left,left
2,left,left
2,right,right
2,left,right
2,right,right
2,left,left
2,left,normal
2,left,right
2,right,normal
2,left,left
2,right,normal
2,right,left
2,left,right
2,left,left
2,right,left
2,left,normal
2,right,left
2,left,left
2,left,left
2,left,left
2,left,right
2,right,right
2,right,normal
2,left,left
2,right,left
2,left,right
2,left,left
2,left,right
2,left,left
2,right,normal
2,left,normal
2,right,normal
2,right,normal
2,right,right
2,left,normal
2,right,right
2,right,right
2,left,normal
2,left,left
2,right,left
2,right,left
2,left,normal
2,left,normal
2,right,right
2,right,right
2,right,right
2,right,left
2,right,right
2,left,left
2,left,left
2,left,left
2,left,right
2,right,left
2,right,normal
2,right,normal
2,left,right
2,right,normal
2,left,right
2,left,normal
2,right,right
2,left,right
2,right,right
2,left,left
2,left,normal
2,left,left
2,left,normal
2,left,normal
2,right,normal
2,left,right
2,left,right
2,right,left
2,left,right
2,right,normal
2,right,right
2,right,right
2,right,right
2,left,left
2,left,right
2,right,right
2,left,right
2,right,left
2,left,normal
2,right,right
2,right,left
2,right,normal
2,left,normal
2,right,right
2,left,normal
2,left,normal
2,left,normal
2,right,left
2,right,left
2,right,left
2,left,right
2,left,left
2,left,normal
2,left,normal
2,left,right
2,right,left
2,right,normal
2,left,left
2,left,normal
2,left,left
2,right,normal
2,left,normal
2,right,normal
2,right,right
2,right,normal
2,left,left
2,left,normal
2,right,normal
2,right,right
2,right,left
2,left,left
2,right,normal
2,left,normal
2,right,left
2,right,right
2,right,normal
2,right,normal
2,right,right
2,right,normal
2,left,right
2,left,right
2,left,normal
2,right,left
2,right,normal
2,right,right
2,right,normal
2,left,right
2,right,left
2,right,left
2,right,normal
2,left,left
2,left,right
2,right,left
2,right,normal
2,left,normal
2,left,left
2,left,normal
2,right,normal
2,right,right
2,left,normal
2,left,left
2,left,right
2,right,right
2,left,right
2,right,right
2,right,normal
2,right,left
2,left,right
2,right,normal
2,right,right
2,left,right
2,left,normal
2,left,left
2,right,left
2,left,right
2,left,right
2,right,normal
2,right,left
2,right,right
2,right,left
2,left,normal
2,left,normal
2,right,left
2,left,left
2,right,normal
2,right,left
2,right,left
2,left,left
2,right,left
2,right,left
2,right,right
2,left,right
2,left,right
2,right,normal
2,right,left
2,left,normal
2,left,normal
2,left,right
2,left,left
2,right,normal
2,right,normal
2,left,right
2,left,right
2,right,left
2,right,normal
2,left,normal
2,right,left
2,left,normal
2,right,right
2,left,right
2,left,right
2,right,normal
2,right,normal
2,left,left
2,right,left
2,left,right
3,left,right
3,right,right
3,right,left
3,right,normal
3,right,normal
3,right,right
3,right,normal
3,right,normal
3,left,left
3,left,left
3,right,right
3,left,right
3,right,left
3,right,right
3,left,normal
3,right,normal
3,left,normal
3,left,normal
3,right,right
3,left,normal
3,left,right
3,left,left
3,right,right
3,right,left
3,left,left
3,right,normal
3,left,left
3,left,right
3,left,right
3,left,left
3,left,right
3,right,normal
3,right,left
3,right,left
3,left,left
3,left,left
3,right,left
3,right,left
3,right,left
3,right,right
3,left,left
3,left,left
3,left,right
3,right,right
3,right,normal
3,left,normal
3,left,normal
3,right,right
3,right,right
3,left,normal
3,right,normal
3,right,right
3,right,right
3,left,normal
3,left,right
3,left,left
3,left,normal
3,right,right
3,left,right
3,left,right
3,left,left
3,right,right
3,left,normal
3,left,normal
3,right,left
3,right,right
3,right,normal
3,left,left
3,left,right
3,left,normal
3,left,normal
3,left,left
3,left,normal
3,right,normal
3,right,normal
3,right,left
3,left,normal
3,right,right
3,right,left
3,left,normal
3,left,right
3,left,right
3,right,right
3,left,right
3,left,normal
3,right,right
3,left,right
3,right,normal
3,left,left
3,right,left
3,left,right
3,left,left
3,right,left
3,right,right
3,right,normal
3,left,normal
3,left,normal
3,right,left
3,left,normal
3,left,left
3,left,left
3,right,left
3,left,normal
3,left,right
3,right,left
3,right,right
3,left,normal
3,right,left
3,left,normal
3,right,normal
3,left,left
3,right,right
3,left,normal
3,left,right
3,left,right
3,left,normal
3,right,normal
3,right,left
3,right,left
3,right,right
3,right,left
3,left,normal
3,left,right
3,right,normal
3,right,normal
3,left,normal
3,right,normal
3,left,normal
3,right,left
3,left,right
3,left,right
3,right,right
3,left,normal
3,left,right
3,left,left
3,left,left
3,right,left
3,left,normal
3,left,normal
3,left,normal
3,right,left
3,left,left
3,right,normal
3,right,right
3,right,left
3,left,left
3,left,normal
3,right,right
3,right,left
3,right,normal
3,right,right
3,left,right
3,right,left
3,right,left
3,right,right
3,left,right
3,left,normal
3,left,left
3,left,left
3,right,normal
3,left,right
3,left,right
3,left,right
3,left,right
3,left,left
3,right,left
3,right,right
3,right,normal
3,right,left
3,left,normal
3,left,right
3,right,left
3,right,left
3,right,normal
3,left,left
3,right,normal
3,left,left
3,right,normal
3,right,right
3,right,normal
3,left,left
3,left,left
3,left,right
3,left,right
3,left,left
3,left,right
3,right,normal
3,right,right
3,left,right
3,left,right
3,left,left
3,right,right
3,right,right
3,left,right
3,right,left
3,right,left
3,left,left
3,right,right
3,right,normal
3,left,left
3,left,right
3,right,left
3,left,normal
3,right,left
3,left,right
3,right,normal
3,right,right
3,left,left
3,right,left
3,right,right
3,left,left
3,left,left
3,left,normal
3,right,right
3,left,right
3,left,left
3,left,normal
3,right,normal
3,left,normal
3,right,normal
3,right,normal
3,left,normal
3,right,normal
3,left,normal
3,left,right
3,right,left
3,left,normal
3,right,left
3,left,left
3,right,right
3,right,right
3,left,left
3,left,normal
3,right,right
3,right,normal
3,left,left
3,left,right
3,left,left
3,right,normal
3,right,normal
3,right,normal
3,left,right
3,right,normal
3,right,right
3,right,left
3,left,right
3,right,right
3,right,right
3,left,normal
3,right,left
3,right,right
3,right,right
3,right,left
3,right,normal
3,left,normal
3,left,right
3,right,right
3,right,left
3,left,right
3,right,right
3,right,normal
3,left,normal
3,left,normal
3,left,right
3,left,left
3,right,normal
3,left,normal
3,right,left
3,right,right
3,right,normal
3,left,right
3,right,left
3,left,left
3,left,left
3,left,right
3,right,normal
3,left,left
3,right,left
3,right,left
3,right,right
3,right,left
3,right,normal
3,right,normal
3,right,normal
3,left,left
3,right,normal
3,left,left
3,right,left
4,left,normal
4,left,right
4,left,right
4,right,left
4,right,right
4,right,left
4,right,right
4,left,right
4,left,left
4,left,normal
4,left,normal
4,left,left
4,left,normal
4,right,left
4,right,normal
4,right,left
4,right,left
4,left,normal
4,right,left
4,left,left
4,right,right
4,right,normal
4,right,normal
4,left,normal
4,right,normal
4,left,right
4,right,left
4,left,normal
4,right,normal
4,right,normal
4,left,right
4,left,normal
4,right,right
4,right,normal
4,left,normal
4,left,normal
4,left,normal
4,left,right
4,left,right
4,left,right
4,right,left
4,right,left
4,left,right
4,left,right
4,left,right
4,right,left
4,left,normal
4,right,right
4,left,left
4,right,left
4,left,right
4,left,right
4,right,left
4,right,right
4,right,normal
4,right,left
4,right,right
4,left,normal
4,right,normal
4,left,left
4,right,left
4,left,normal
4,right,right
4,right,right
4,left,normal
4,right,normal
4,right,left
4,right,right
4,right,normal
4,right,left
4,left,normal
4,right,left
4,left,left
4,left,normal
4,left,left
4,right,right
4,left,right
4,right,left
4,left,normal
4,right,normal
4,right,right
4,left,left
4,left,normal
4,left,left
4,right,normal
4,left,normal
4,right,right
4,right,right
4,right,right
4,left,left
4,left,normal
4,right,right
4,right,left
4,right,right
4,left,left
4,left,normal
4,right,right
4,left,normal
4,left,normal
4,left,left
4,right,left
4,left,right
4,right,right
4,right,right
4,right,right
4,right,right
4,left,right
4,right,normal
4,right,right
4,left,right
4,left,left
4,left,left
4,right,normal
4,right,left
4,right,left
4,right,normal
4,left,left
4,left,left
4,right,left
4,left,normal
4,left,left
4,right,normal
4,left,left
4,left,right
4,left,left
4,right,normal
4,left,normal
4,right,normal
4,left,normal
4,right,left
4,right,left
4,left,left
4,right,right
4,left,normal
4,left,left
4,right,left
4,left,left
4,left,normal
4,left,right
4,right,right
4,left,right
4,left,normal
4,right,right
4,right,normal
4,right,left
4,right,left
4,left,normal
4,right,right
4,left,normal
4,left,right
4,left,right
4,right,right
4,left,left
4,left,right
4,right,normal
4,right,left
4,left,left
4,right,right
4,left,right
4,right,left
4,left,normal
4,left,left
4,right,left
4,right,right
4,left,normal
4,left,right
4,right,left
4,right,right
4,left,left
4,left,right
4,right,left
4,left,left
4,right,normal
4,left,right
4,right,right
4,right,right
4,right,left
4,left,normal
4,right,left
4,right,normal
4,left,right
4,right,left
4,left,left
4,right,normal
4,left,right
4,left,right
4,right,left
4,right,right
4,left,left
4,right,normal
4,right,left
4,left,right
4,left,left
4,left,normal
4,right,right
4,left,right
4,right,left
4,right,right
4,left,left
4,left,normal
4,left,left
4,right,normal
4,left,normal
4,right,right
4,right,normal
4,right,normal
4,left,right
4,right,normal
4,right,right
4,right,normal
4,right,normal
4,right,right
4,right,normal
4,right,right
4,right,normal
4,right,right
4,left,normal
4,right,normal
4,left,normal
4,right,left
4,left,normal
4,right,normal
4,left,left
4,left,right
4,right,right
4,left,right
4,right,right
4,right,left
4,right,normal
4,left,left
4,right,normal
4,right,normal
4,left,left
4,right,normal
4,right,right
4,left,normal
4,left,left
4,right,normal
4,right,normal
4,left,left
4,left,left
4,left,left
4,right,normal
4,right,normal
4,left,normal
4,left,right
4,left,left
4,left,left
4,left,right
4,right,right
4,left,right
4,left,left
4,right,left
4,left,right
4,left,left
4,right,normal
4,right,left
4,right,normal
4,left,right
4,right,left
4,right,left
4,left,right
4,left,right
4,right,left
4,right,right
4,left,right
4,left,left
4,right,right
4,left,right
4,left,left
4,left,right
4,left,right
4,left,normal
4,left,left
4,left,normal
4,right,normal
4,left,left
4,right,left
4,left,normal
4,left,right
4,right,left
4,right,normal
4,right,normal
4,left,right
4,left,left
4,left,normal
4,left,normal
4,right,right
5,right,normal
5,right,normal
5,right,right
5,right,right
5,left,normal
5,right,right
5,left,right
5,left,right
5,right,left
5,right,left
5,left,right
5,right,normal
5,right,left
5,right,right
5,left,normal
5,right,normal
5,right,normal
5,left,normal
5,left,left
5,right,normal
5,left,normal
5,right,right
5,right,left
5,right,right
5,left,normal
5,left,normal
5,left,right
5,right,normal
5,right,right
5,left,right
5,left,normal
5,left,normal
5,right,normal
5,left,left
5,left,left
5,right,right
5,right,right
5,right,left
5,left,normal
5,left,right
5,left,normal
5,left,normal
5,right,normal
5,left,normal
5,right,left
5,left,right
5,right,left
5,left,left
5,left,left
5,right,right
5,right,right
5,left,right
5,right,normal
5,right,left
5,left,right
5,right,right
5,right,right
5,right,right
5,right,left
5,right,right
5,left,left
5,left,right
5,right,right
5,left,left
5,right,left
5,left,right
5,left,right
5,left,left
5,left,normal
5,left,left
5,right,left
5,right,normal
5,right,normal
5,right,right
5,left,right
5,right,left
5,right,right
5,right,left
5,right,left
5,left,left
5,left,left
5,left,normal
5,left,left
5,left,right
5,right,normal
5,right,normal
5,left,right
5,right,normal
5,left,right
5,right,left
5,right,normal
5,left,normal
5,right,right
5,right,normal
5,left,left
5,right,normal
5,left,left
5,right,left
5,left,right
5,left,left
5,right,right
5,right,left
5,left,left
5,right,left
5,right,left
5,right,left
5,right,right
5,left,normal
5,right,normal
5,left,normal
5,right,left
5,right,left
5,left,right
5,left,right
5,right,normal
5,left,normal
5,left,normal
5,left,right
5,right,left
5,left,left
5,right,normal
5,left,normal
5,left,normal
5,left,normal
5,right,right
5,left,normal
5,left,left
5,right,left
